번호,시도,시군구,골프장명,운영사,소재지주소,홀수,구분,전화,홈페이지,세그먼트,비고
16,경기,광주시,강남300 컨트리클럽,강남300컨트리클럽㈜,경기도 광주시 새말길 353(목동),18,회원제,031-719-0300,https://www.kn300.com/,,
17,경기,광주시,곤지암GC,(주)디앤오,경기도 광주시 도척면 도척윗로 280,18,회원제,031-760-3555,https://www.konjiamgolfclub.co.kr/,,
18,경기,광주시,그린힐 컨트리클럽,신안개발㈜,경기도 광주시 곤지암읍 내선길 176,18,회원제,031-799-8500,https://www.shinangolf.com/club/greenhillcc,,
19,경기,광주시,남촌컨트리클럽,남촌레저개발㈜,경기도 광주시 곤지암읍 부항길 135-38,18,회원제,031-769-0333,https://www.namchoncc.co.kr/,,
20,경기,광주시,뉴서울컨트리클럽,한국문화예술위원회,경기도 광주시 삼지곡길 95(삼동),36,회원제,031-762-5672,https://www.newseoulgolf.co.kr/,,
21,경기,광주시,로제비앙GC,경기관광개발㈜,경기도 광주시 곤지암읍 오항길 180,27,대중제,031-799-6000,https://www.logebiengc.com/,,
22,경기,광주시,이스트밸리CC,청남관광㈜,경기도 광주시 곤지암읍 건업길 195,27,회원제,031-760-3800,https://www.eastvalley.co.kr/,,
23,경기,광주시,중부컨트리클럽,애경중부컨트리㈜,경기도 광주시 곤지암읍 경충대로 451,18,회원제,031-762-6588,https://www.akdjbcc.co.kr/,,
24,경기,군포시,안양컨트리클럽,삼성물산㈜,경기도 군포시 군포로364(부곡동),18,회원제,031-460-3301,https://www.anyangcc.co.kr/,,
25,경기,김포시,김포SEASIDE 컨트리클럽,해강개발㈜,경기도 김포시 월곶면 김포대로 2081번길 219,18,회원제,031-987-9992,https://www.gimpocc.co.kr/,,
26,경기,남양주시,광릉CC(비회원제),광릉레져개발㈜,경기도 남양주시 진접읍 팔야로 280,6,대중제,031-528-7400,https://www.kwangneungcc.co.kr/,,
27,경기,남양주시,광릉CC(회원제),광릉레져개발㈜,경기도 남양주시 진접읍 팔야로 280,18,회원제,031-528-7001,https://www.kwangneungcc.co.kr/,,
28,경기,남양주시,남양주CC,라미드관광㈜,경기도 남양주시 오남읍 진건오남로 516-31,9,대중제,031-529-6060,http://namyangjucc.co.kr/,,
29,경기,남양주시,비전힐스CC,㈜비젼힐스,경기도 남양주시 화도읍 마치로 226-220,18,회원제,031-595-3355,https://www.visionhillscc.co.kr/,,
30,경기,남양주시,양주 컨트리클럽,근영농산㈜,경기도 남양주시 화도읍 북한강로 1525-52,18,회원제,031-592-6060,http://www.yangjucc.co.kr/,,
31,경기,남양주시,해비치 컨트리클럽,해비치컨트리클럽㈜,경기도 남양주시 화도읍 재재기로 190번길 160,18,회원제,031-579-3000,https://www.haevichi.com/ccseoul/ko/,,
32,경기,동두천시,티클라우드컨트리클럽,㈜제이레저,경기도 동두천시 평화로 3202,18,회원제,031-869-7777,http://www.teecloud.kr/,,
33,경기,성남시,남서울컨트리클럽,경원건설㈜,경기도 성남시 분당구 판교백현로 161,18,회원제,031-709-6000,https://nscc.co.kr/,,
34,경기,시흥시,솔트베이 골프클럽,㈜성담,경기도 시흥시 마유로 987 (장곡동),18,대중제,031-400-0000,https://www.saltbay.co.kr/,,
35,경기,시흥시,아세코밸리골프클럽,㈜아세코,경기도 시흥시 마전로 307 (거모동),9,대중제,031-488-8000,https://www.asecovalley.co.kr/,,
36,경기,안산시,더헤븐 컨트리클럽,㈜더헤븐리조트,경기도 안산시 단원구 대선로466(대부남동),27,대중제,032-884-1004,http://www.islandresort.co.kr/,,
37,경기,안산시,제일컨트리클럽,㈜제일스포츠센타,경기도 안산시 상록구 태마당로28(부곡동),27,회원제,031-400-2500,https://www.jaeil-cc.co.kr/,,
38,경기,안성시,골프존카운티 안성H,㈜골프존카운티,경기도 안성시 보개면 보삼로 302,18,대중제,031-8056-0700,https://www.golfzoncounty.com/golfclub/main?golfclubSeq=53,,
39,경기,안성시,골프존카운티 안성W,㈜골프존카운티,경기도 안성시 양성면 교동길 19-70,18,대중제,031-670-0500,https://www.golfzoncounty.com/ansung_w/main,,
40,경기,안성시,골프클럽Q,골프클럽큐레저산업 주식회사,경기도 안성시 죽산면 장계길 20-229,18,대중제,031-8046-7000,https://www.golfclubq.com/,,
41,경기,안성시,마에스트로 CC,천원종합개발 주식회사,경기도 안성시 양성면 안성맞춤대로 2134-36,18,대중제,031-8046-1000,http://www.maestrocc.co.kr/,,
42,경기,안성시,신안 퍼블릭 CC,신안종합레져㈜,경기도 안성시 고삼면 개울말길 149,9,대중제,031-8046-0801,https://www.shinangolf.com/,,
43,경기,안성시,신안컨트리클럽,신안종합레져㈜,경기도 안성시 고삼면 개울말길 149,18,회원제,031-8046-0777,https://www.shinangolf.com/,,
44,경기,안성시,안성베네스트G.C,삼성물산㈜,경기도 안성시 금광면 삼흥로 660,27,회원제,031-670-0777,https://rnc.samsungcnt.com/business/golf/ansung/index.html,,
45,경기,안성시,안성베네스트골프클럽 일반대중홀,삼성물산㈜,경기도 안성시 금광면 삼흥로 660,9,대중제,031-670-0777,https://rnc.samsungcnt.com/business/golf/ansung/index.html,,
46,경기,안성시,안성컨트리클럽,㈜한일,경기도 안성시 죽산면 걸미로 487,18,회원제,031-674-9111,https://www.ansungcc.co.kr/,,
47,경기,안성시,에덴블루 컨트리클럽,죽산개발㈜,경기도 안성시 죽산면 녹배길 175,27,대중제,031-678-7000,https://www.edenblue.co.kr/,,
48,경기,안성시,윈체스트 골프클럽 대중,㈜다림개발,경기도 안성시 서운면 오촌길 97-31,18,대중제,031-678-9000,https://www.winchestgc.co.kr/,,
49,경기,안성시,이글몬트CC,주식회사 지씨에이치피,경기도 안성시 보개면 보삼로 106,27,대중제,031-288-0900,https://www.golfzoncounty.com/,,
50,경기,안성시,파인크리크C.C,㈜동양레저,경기도 안성시 양성면 안성맞춤대로 2417-13,27,대중제,031-670-0114,http://www.tyleisure.co.kr/02_pine/main_sub.jsp,,
51,경기,안성시,포웰CC 안성,엔에이치투자증권㈜,경기도 안성시 양성면 약산길 67-6,18,대중제,031-612-6000,https://as.4wellcc.com/,,
52,경기,안성시,한림안성,일송개발㈜,경기도 안성시 양성면 양성로 349-61,9,대중제,031-671-7153,https://ansung.hanlimgolf.co.kr,⭐T1,
53,경기,양주시,레이크우드 골프장(비회원제),로얄개발㈜,경기도 양주시 만송로 244,9,비회원제,031-820-1500,https://lakewood.co.kr/,,
54,경기,양주시,레이크우드 골프장(회원제),로얄개발㈜,경기도 양주시 만송로 244,27,회원제,031-820-1500,https://lakewood.co.kr/,,
55,경기,양주시,송추 컨트리클럽,㈜티에스개발,경기도 양주시 광적면 쇠장이길 435,18,회원제,031-871-9410,https://www.songchoo.co.kr/,,
56,경기,양평군,더스타휴 컨트리클럽,(주)한창산업개발,경기도 양평군 양동면 양동로 756,18,회원제,031-770-9900,https://www.thestarhue.com/,,
57,경기,양평군,양평TPC GC,대지개발㈜,경기도 양평군 지평면 대평평장길 113-8,27,대중제,031-772-3000,https://www.tpcgolf.co.kr/,,
58,경기,여주시,360도 컨트리클럽,제이타우젠트㈜,경기도 여주시 강천면 부평로 609,18,대중제,031-880-3600,https://www.360cc.co.kr/,,
59,경기,여주시,ROUTE52CC,케이알레저㈜,경기도 여주시 북내면 중암1길 36,18,대중제,031-882-0052,https://www.route52cc.com/,,
60,경기,여주시,YJC골프클럽,와이제이씨 주식회사,경기도 여주시 월평로 78,27,회원제,031-883-7000,https://www.yeojoocc.co.kr/,,
61,경기,여주시,금강컨트리클럽(대중),(주)금강레저,경기도 여주시 가남읍 여주남로 541,9,대중제,031-880-6000,https://www.kccgolf.co.kr/,,
62,경기,여주시,금강컨트리클럽(회원),(주)금강레저,경기도 여주시 가남읍 여주남로 541,18,회원제,031-880-6000,https://www.kccgolf.co.kr/,,
63,경기,여주시,남여주대중골프장,남여주레저개발㈜,경기도 여주시 가여로 532,27,대중제,031-880-6700,https://www.namyeoju.co.kr/,,
64,경기,여주시,렉스필드 컨트리클럽(비회원),(주)렉스필드컨트리클럽,경기도 여주시 산북면 광여로 1115,9,비회원제,031-880-8700,https://www.rexfield.com/,,
65,경기,여주시,렉스필드 컨트리클럽(회원),(주)렉스필드컨트리클럽,경기도 여주시 산북면 광여로 1115,18,회원제,031-880-0300,https://www.rexfield.com/,,
66,경기,여주시,블루헤런G.C,블루헤런㈜,경기도 여주시 대신면 고달사로 67,18,회원제,031-880-0700,https://www.blueheron.co.kr/,,
67,경기,여주시,빅토리아일반대중골프장,에스비레져㈜,경기도 여주시 가남읍 송삼로 191,9,대중제,031-883-0111,http://www.victoriagc.co.kr/,,
68,경기,여주시,세라지오GC,(주)신한은행,경기도 여주시 여양로 530,18,대중제,031-887-8700,,,
69,경기,여주시,소피아그린,더케이소피아그린㈜,경기도 여주시 점동면 소피아그린길 84,27,대중제,031-887-8100,https://www.sophiagreen.co.kr/,,
70,경기,여주시,솔모로골프장,(주)한일레저,경기도 여주시 가남읍 솔모로그린길 171,36,회원제,031-880-7000,https://www.solmoro.com/,,
71,경기,여주시,스카이밸리골프장(비회원),㈜이지아이레저,경기도 여주시 북내면 운촌길 254,18,대중제,031-880-8800,https://www.skyvalley.co.kr/,,
72,경기,여주시,스카이밸리골프장(회원),㈜이지아이레저,경기도 여주시 북내면 운촌길 254,18,회원제,031-880-8800,https://www.skyvalley.co.kr/,,
73,경기,여주시,신라컨트리클럽,㈜신라레저,경기도 여주시 북내면 신라그린길 84,27,대중제,031-886-3030,https://shilla.kmhleisure.com/,,
74,경기,여주시,아리지 골프장,㈜아리지,경기도 여주시 가남읍 아리지그린길 68,27,대중제,031-887-5678,https://www.ariji.co.kr/,,
75,경기,여주시,여주썬밸리 컨트리클럽,동광레저㈜,경기도 여주시 강천면 강문로 872,9,대중제,031-887-5300,https://www.sunvalley.co.kr/yeoju/golf/intro,,
76,경기,여주시,이포골프장,보광개발㈜,경기도 여주시 금사면 장흥로 416,18,회원제,031-886-8100,https://www.ipocc.com/,,
77,경기,여주시,자유컨트리클럽,㈜조선호텔앤리조트 레져,경기도 여주시 가남읍 자유그린길 69,36,회원제,031-887-7700,https://www.jayucc.co.kr/,,
78,경기,여주시,캐슬파인골프클럽,캐슬파인리조트㈜,경기도 여주시 강천면 부평로 580,18,대중제,031-880-8656,https://www.castlepine.co.kr/,,
79,경기,여주시,페럼클럽,㈜페럼인프라,경기도 여주시 점동면 점동로 181,18,대중제,031-887-7000,,,
80,경기,여주시,해슬리나인브릿지 컨트리클럽,CJ대한통운㈜,경기도 여주시 명품1로 76,18,회원제,031-887-9900,https://www.haesley.com/,,
81,경기,연천군,자유로컨트리클럽,백학관광개발원㈜,경기도 연천군 백학면 노아로297번길 179-55,27,대중제,031-839-1500,https://www.jayurocc.com/,,
82,경기,용인시,골드컨트리클럽,기흥관광개발㈜,경기도 용인시 기흥구 기흥단지로 398,36,회원제,031-286-8111,https://www.gakorea.com/gold/index.asp,,
83,경기,용인시,국가보훈부 88골프장,88관광개발㈜,경기도 용인시 기흥구 석성로 521번길 169,36,회원제,1577-8871,https://www.88countryclub.co.kr/,,
84,경기,용인시,글렌로스 골프클럽,삼성물산㈜,경기도 용인시 처인구 포곡읍 에버랜드로 562번길 69,9,대중제,031-320-9601,https://rnc.samsungcnt.com/business/golf/glen/index.html,,
85,경기,용인시,남부컨트리클럽,금보개발㈜,경기도 용인시 기흥구 사은로 163,18,회원제,031-280-4100,https://www.namboocc.co.kr/,,
86,경기,용인시,레이크사이드CC(대중제),㈜서울레이크사이드,경기도 용인시 처인구 모현읍 능원로 181,36,대중제,031-334-2111,https://www.lakesidecc.co.kr/,,
87,경기,용인시,레이크사이드CC(회원제),㈜서울레이크사이드,경기도 용인시 처인구 모현읍 능원로 181,18,회원제,031-334-2111,https://www.lakeside.kr/,,
88,경기,용인시,블루원용인CC(비회원제),㈜블루원,경기도 용인시 처인구 원삼면 보개원삼로 1534번길 40,9,대중제,1899-1888,https://yi.blueone.com/,,
89,경기,용인시,블루원용인CC(회원제),㈜블루원,경기도 용인시 처인구 원삼면 보개원삼로 1534번길 40,18,회원제,1899-1888,https://yi.blueone.com/,,
90,경기,용인시,석천CC,석천씨씨㈜,경기도 용인시 처인구 백암면 황새울로 255,9,대중제,031-332-3323,https://www.yongincc.com/,,
91,경기,용인시,세현CC,㈜세현씨씨,경기도 용인시 처인구 이동읍 백자로 450,18,대중제,031-670-8800,https://www.sehyeoncc.com/,,
92,경기,용인시,수원컨트리클럽,㈜삼흥,경기도 용인시 기흥구 중부대로 495,36,회원제,031-281-6613,https://www.suwoncc.co.kr/,,
93,경기,용인시,신원CC,㈜일신레져,경기도 용인시 이동읍 이원로 225,27,회원제,031-333-1800,https://www.swcc.co.kr/,,
94,경기,용인시,써닝포인트 컨트리클럽,㈜에스엘케이,경기도 용인시 처인구 백암면 고안로 51번길 205,18,대중제,031-329-0800,http://www.sunningpoint.com,,
95,경기,용인시,아시아나컨트리클럽,금호리조트㈜,경기도 용인시 처인구 양지면 양대로 290,36,회원제,031-334-8800,https://www.asianacc.co.kr/,,
96,경기,용인시,양지파인골프클럽,미래개발㈜,경기도 용인시 처인구 양지면 남평로 112,27,대중제,031-329-9500,https://www.pineresort.com/,,
97,경기,용인시,용인CC,㈜용인씨씨,경기도 용인시 처인구 백암면 황새울로 255,9,대중제,031-332-3323,https://www.yongincc.com/,,
98,경기,용인시,은화삼컨트리클럽,은화삼컨트리클럽㈜,경기도 용인시 처인구 백옥대로 860-38,18,회원제,031-335-8255,https://www.ehscc.co.kr/,,
99,경기,용인시,지산컨트리클럽,지산리조트㈜,경기도 용인시 처인구 원삼면 죽양대로 2000번길 60,27,회원제,031-330-1400,http://www.jisangolf.com/,,
100,경기,용인시,지산퍼블릭,지산리조트㈜,경기도 용인시 처인구 원삼면 죽양대로 2100번길 60,9,대중제,031-330-1400,https://www.jisanresort.co.kr/,,
101,경기,용인시,코리아대중CC,㈜지에이코리아,경기도 용인시 기흥구 기흥단지로 224,9,대중제,031-286-9500,https://www.gakorea.com/,,
102,경기,용인시,코리아컨트리클럽,뉴경기관광㈜,경기도 용인시 처인구 이동읍 기흥단지로 579,27,회원제,031-334-7111,https://www.gakorea.com/korea/club/club.asp,,
103,경기,용인시,태광컨트리클럽(대중제),㈜티시스,경기도 용인시 기흥구 흥덕4로 77,9,대중제,1877-6001,https://www.taekwangcc.co.kr/,,
104,경기,용인시,태광컨트리클럽(회원제),㈜티시스,경기도 용인시 기흥구 흥덕4로 77,27,회원제,1877-6001,https://www.taekwangcc.co.kr/,,
105,경기,용인시,플라자CC,한화호텔앤드리조트㈜,경기도 용인시 처인구 남사읍 봉무로 153번길 79,36,회원제,031-323-3200,https://www.plazacc.co.kr/,,
106,경기,용인시,한림용인CC,이병진,경기도 용인시 처인구 남사읍 경기동로 628,27,대중제,031-336-8350,https://yongin.hanlimgolf.co.kr,⭐T1,
107,경기,용인시,한성컨트리클럽,한성관광개발㈜,경기도 용인시 기흥구 구교동로 151,27,회원제,031-284-3831,http://www.hansung-cc.co.kr/,,
108,경기,용인시,한원컨트리클럽,㈜한원컨트리클럽,경기도 용인시 처인구 남사읍 전나무골길2번길 94,27,회원제,031-379-8111,https://hanwoncc.co.kr/,,
109,경기,용인시,해솔리아 컨트리클럽,해솔리아컨트리클럽㈜,경기도 용인시 처인구 이동읍 백자로 369,27,대중제,031-321-7755,https://www.haesoliacc.co.kr/,,
110,경기,용인시,화산컨트리클럽,화산개발㈜,경기도 용인시 처인구 이동읍 화산로 239,18,회원제,031-329-7114,http://www.hwasancc.com/,,
111,경기,이천시,뉴스프링빌골프장,㈜동승골프앤리조트,경기도 이천시 모가면 사실로 527번길 158,36,회원제,031-630-7500,,,
112,경기,이천시,뉴스프링빌골프장(대중형),㈜동승골프앤리조트,경기도 이천시 모가면 사실로 527번길 158,9,대중제,031-630-7500,,,
113,경기,이천시,더반 골프클럽,㈜명문투자개발,경기도 이천시 대월면 대월로 627-141,9,대중제,031-645-6100,https://www.theban.co.kr/,,
114,경기,이천시,더크로스비골프클럽,(주)호법포레,경기도 이천시 호법면 중부대로798번길 177,27,대중제,031-730-8600,https://www.thecrosbygc.co.kr/,,
115,경기,이천시,마이다스레이크 이천 골프&리조트,(주)대교디앤에스,경기도 이천시 설성면 설가로 602,27,대중제,031-640-0123,https://www.midasgolf.co.kr/,,
116,경기,이천시,블랙스톤골프장(대중형),㈜블랙스톤리조트 이천,경기도 이천시 장호원읍 장여로 459-160,9,대중제,031-630-0703,https://www.blackstoneresort.com/ic/aboutList,,
117,경기,이천시,블랙스톤골프장(회원제),㈜블랙스톤리조트 이천,경기도 이천시 장호원읍 장여로 459-160,18,회원제,031-643-2000,https://www.blackstoneresort.com/ic/main.asp,,
118,경기,이천시,비에이비스타골프장(회원),삼풍관광㈜,경기도 이천시 모가면 어농로 272,41,회원제,031-636-3577,https://www.bavista.co.kr/,,
119,경기,이천시,비에이비스타컨트리클럽(비회원),삼풍관광㈜,경기도 이천시 모가면 어농로 272,18,대중제,031-636-3577,https://www.bavista.co.kr/,,
120,경기,이천시,사우스스프링스C.C,㈜사우스스프링스,경기도 이천시 모가면 공원로 64,18,대중제,031-630-7000,https://www.sscc.co.kr/,,
121,경기,이천시,에이치원 클럽,호반써밋㈜,경기도 이천시 호법면 장자터로 115,18,회원제,031-640-8114,https://www.h1club.co.kr/,,
122,경기,이천시,웰링턴컨트리클럽,효성중공업㈜,경기도 이천시 모가면 사실로 725번길 119-73,27,회원제,031-645-1800,https://www.wellingtoncc.co.kr/,,
123,경기,이천시,이천실크밸리골프클럽,이천실크밸리㈜,경기도 이천시 율면 임오산로 296,27,대중제,031-639-0077,https://silkvalleygc.co.kr/,,
124,경기,파주시,노스팜 컨트리클럽,㈜노스팜,경기도 파주시 광탄면 쇠장이길 265,18,대중제,031-950-6900,https://www.npcc.co.kr/,,
125,경기,파주시,베스트밸리 골프클럽,㈜베스트밸리골프클럽,경기도 파주시 광탄면 장지산로200번길 32-41,9,대중제,031-950-7777,https://www.bestvalleygc.com/,,
126,경기,파주시,서서울 컨트리클럽,호반서서울㈜,경기도 파주시 광탄면 혜음로 324,18,회원제,031-943-0040,https://www.seoseoul.co.kr/,,
127,경기,파주시,서원밸리 골프장,서원레저㈜,경기도 파주시 광탄면 서원길 333,18,회원제,031-940-9400,https://www.seowongolf.co.kr/valley/main,,
128,경기,파주시,서원힐스 골프장,서원레저㈜,경기도 파주시 광탄면 서원길 333,27,대중제,031-940-9400,https://www.seowongolf.co.kr/,,
129,경기,파주시,스마트KU 골프 파빌리온,학교법인 건국대학교,경기도 파주시 법원읍 보광로 1616,27,대중제,031-930-1600,https://kugolf.co.kr/,,
130,경기,파주시,타이거CC 골프장,(주)타이거레저,경기도 파주시 법원읍 술이홀로 1803,18,대중제,031-958-8900,https://www.tigercc.co.kr/,,
131,경기,파주시,파주 J-Public 골프장,㈜포스코와이드,경기도 파주시 조리읍 장곡로 100,6,대중제,031-8071-0808,http://www.jpublic.co.kr/,,
132,경기,파주시,파주컨트리클럽,㈜파주컨트리클럽,경기도 파주시 법원읍 화합로 306,18,대중제,031-959-9999,https://paju.kxleisure.com/,,
133,경기,포천시,라싸 골프클럽,라싸디벨로프먼트㈜,경기도 포천시 이동면 제비울2길 161,27,대중제,031-538-0600,https://www.lassagc.com/,,
134,경기,포천시,몽베르 컨트리클럽(비회원제),몽베르컨트리클럽㈜,경기도 포천시 영북면 산정호수로 359-13,18,대중제,031-531-1100,https://www.montvertcc.com/,,
135,경기,포천시,몽베르 컨트리클럽(회원제),몽베르컨트리클럽㈜,경기도 포천시 영북면 산정호수로 359-12,18,회원제,031-531-1100,https://www.montvertcc.com/,,
136,경기,포천시,베어크리크골프클럽,㈜삼보개발,경기도 포천시 화현면 달인동로 35,36,대중제,031-539-5700,https://www.bearcreek.co.kr/,,
137,경기,포천시,샴발라 컨트리클럽,㈜샴발라,경기도 포천시 군내면 청군로 2856-93,18,대중제,031-538-0508,https://www.shambhalacc.co.kr/,,
138,경기,포천시,일동레이크 골프클럽,농심개발㈜,경기도 포천시 일동면 화동로 738,18,회원제,031-539-5900,https://ildonglakes.co.kr/,,
139,경기,포천시,일동레이크대중제골프장,농심개발㈜,경기도 포천시 일동면 화동로 738,12,대중제,031-539-5900,https://ildonglakes.co.kr/,,
140,경기,포천시,참밸리 컨트리클럽,㈜참빛글로벌이앤씨,경기도 포천시 삼육사로 1982,18,대중제,031-538-0333,https://charmvalley.cc/,,
141,경기,포천시,포레스트힐 컨트리클럽,화현개발㈜,경기도 포천시 화현면 봉화로 253,24,대중제,031-530-8000,https://www.foresthill.kr/,,
142,경기,포천시,포천아도니스 C.C,㈜아도니스,경기도 포천시 신북면 포천로 2499,27,회원제,031-530-9100,,,
143,경기,포천시,포천아도니스 대중골프장,㈜아도니스,경기도 포천시 신북면 포천로 2499,9,대중제,031-530-9100,https://www.adoniscc.co.kr/,,
144,경기,포천시,포천힐스 컨트리클럽,㈜한경엘앤디,경기도 포천시 군내면 반월산성로 375번길 34,27,대중제,031-538-7000,https://www.fortunehills.co.kr/,,
145,경기,포천시,푸른솔 골프클럽 포천,유진레저,경기도 포천시 가산면 금우로276,27,대중제,031-850-3000,https://www.purunsol.co.kr/,,
146,경기,포천시,필로스 골프클럽,㈜선운,경기도 포천시 일동면 운악청계로 1507,27,대중제,031-539-8900,https://www.philosgc.com/,T2?,
147,경기,포천시,힐마루 골프앤리조트 포천,㈜동훈,경기도 포천시 영중면 금화봉 4길 77-1,45,대중제,1577-6632,https://pocheon.hillmaru.com/,,
148,경기,하남시,캐슬렉스골프클럽,㈜캐슬렉스서울,경기도 하남시 감이로 317(감이동),18,회원제,02-480-5600,http://www.castlexseoul.com/,,
149,경기,화성시,기흥컨트리클럽,삼남개발㈜,경기도 화성시 풀무골로106번길 244,36,회원제,031-376-4001,https://www.ghcc.kr/,,
150,경기,화성시,라비돌컨트리클럽,㈜라비돌,경기도 화성시 정남면 세자로 286,9,대중제,031-350-4700,http://www.laviedor.com/,,
151,경기,화성시,리베라컨트리클럽,㈜관악,경기도 화성시 중리길 183,36,회원제,031-8047-8000,https://www.shinangolf.com/,,
152,경기,화성시,링크나인골프클럽,㈜금당개발,경기도 화성시 마도면 해운로630번길 49,9,대중제,031-831-0900,https://www.linknine.co.kr/,,
153,경기,화성시,발리오스컨트리클럽(비회원제),신창기업㈜,경기도 화성시 팔탄면 3.1만세로 641-28,9,비회원제,031-352-5061,https://baliosgc.com/,,
154,경기,화성시,발리오스컨트리클럽(회원제),신창기업㈜,경기도 화성시 팔탄면 3.1만세로 641-28,18,회원제,031-352-5061,https://baliosgc.com/,,
155,경기,화성시,화성 상록G.C,공무원연금공단,경기도 화성시 풀무골로60번길 80,27,대중제,031-371-0100,https://www.sangnokresort.co.kr/M050000,,
156,경기,화성시,화성골프클럽,㈜리더스,경기도 화성시 남양읍 화성로 1393-27,9,대중제,031-369-8900,http://www.hwaseonggc.com/,,
157,강원,강릉시,메이플비치골프&리조트,원익엘앤디㈜,강릉시 강동면 풍호길 300-78,18,대중제,033-650-0000,https://www.maplebeach.co.kr/,,
158,강원,강릉시,샌드파인골프클럽,㈜승산,강릉시 저동등길 53(저동),18,회원제,1644-3001,https://lakaisandpine.co.kr/,,
159,강원,고성군,설악썬밸리컨트리클럽,㈜동광개발,고성군 죽왕면 순포로 188,27,대중제,033-638-5362,https://www.sunvalley.co.kr/seorak/,,
160,강원,고성군,소노펠리체 컨트리클럽 델피노,㈜소노인터내셔널,고성군 토성면 미시령옛길 1153,18,대중제,1644-0063,https://www.sonofelicecc.com/dp,,
161,강원,고성군,파인리즈컨트리클럽,(주)에이치제이매그놀리아용평파인리즈골프앤리조트,고성군 토성면 잼버리동로 267,27,대중제,1577-6399,http://www.pineridge.co.kr,,
162,강원,삼척시,블랙밸리컨트리클럽,블랙밸리컨트리클럽㈜,삼척시 도계읍 도상로 307-84,18,대중제,033-540-5301,https://www.blackcc.co.kr/,,
163,강원,삼척시,파인밸리컨트리클럽,㈜동양레저,삼척시 근덕면 미근로 1629,18,대중제,033-573-0874,https://www.tyleisure.co.kr/,,
164,강원,속초시,설악프라자컨트리클럽,한화호텔앤드리조트㈜,속초시 미시령로2983번길 56-20,18,회원제,033-630-5511,https://www.plazacc.co.kr/,,
165,강원,속초시,영랑호컨트리클럽,㈜신세계센트럴 영랑호리조트,속초시 영랑호반길 170,9,대중제,033-633-0001,https://www.yrhresort.com/,,
166,강원,양양군,설해원,㈜새서울레저,양양군 손양면 공항로 230,27,대중제,033-670-7700,https://www.seolhaeone.com/,,
167,강원,양양군,설해원더 레전드 코스,㈜새서울레저,양양군 손양면 공항로 230,18,대중제,033-670-7700,https://www.seolhaeone.com/golf/list.do,,
168,강원,영월군,동강시스타 골프장,에스엠하이플러스㈜,영월군 영월읍 사지막길 160,18,대중제,033-905-2000,https://cistar.kr/,,
169,강원,원주시,Oak Hills컨트리클럽,에이치디씨리조트주식회사,원주시 지정면 오크밸리2길 58,18,회원제,1588-7676,https://oakvalley.co.kr/,,
170,강원,원주시,동서울레스피아,㈜동서울컨트리클럽,원주시 지정면 신평석화로 236,9,대중제,033-732-3700,,,
